upload_id,transcriptions
10,so high our experience so far has been a little bit difficult when you have a teenage child that is stuck in the house for five to six weeks so far I mean homeschooling you know but her friends has been very hard to see them when you see them on FaceTime working from home is difficult or so after what I was wearing on you I wouldn't mind working from home maybe twice a week every day for six days at 6 weeks if that's difficult communicating it's it's just it's a very hard thing but I think it's been harder on my teenage daughter more she's more seems more secluded now and not as happy and I have to go outside and walk the dog occasionally so she can get fresh air and feel like she's able to do something I encouraged her to work but everyone needs some physical contact just to be around people I mean it's just nature but will hopefully get well soon and hopefully everything will be back to normal again hopefully everyone can stay healthy and safe
209,I'm not going to stay in my name for the anonymity but I am in my mid-forties remotely working from home working for a private Institution my world became very very active lately because of the market conditions and there are more demands and more work required for me to spend less time with my children when they need me I have three children I have a 5th grader ten-year-old I have a third grader a year a three year old and I have a Pre-K 3 4 year old my husband lost his King Kong because the service is not honor are not essential and therefore he's basically home yet he's a double or person who needs to be in the field and it became very frustrating on Olive my children are confused frightened their mental state is not as well because they're hostile we are living in a 650 square feet Apartment 2 bedroom and combine living room with the letter kitchenette that living species was fine with us for us in the past because children were doing all kinds of activities soccer running swimming and being constantly outdoorsy all of the discount now my oldest one is independent but he became depressed it doesn't move much in the morning we need to push him out of his bad to where he's doing his homework so he can stretch out a little bit my middle one he's the fidget one he's the one with ADHD he's not able to focus he's constantly finding toys for himself to play as opposed to doing his school work my husband needs to spend time next to him and constantly cure him back into the school work did my husband is not a teacher and english-as-a-second-language he doesn't even have a college degree I'm not able to spend any time educating my child because if I do not be if I'm not focused on my work I will lose my job and the only source of income for our survival my youngest one is basically being put in front of the TV so he doesn't bother my other two children who need to do the school work when he becomes tired of the TV then he starts teasing my other children where he becomes becomes very loud he throws the Tantrums he doesn't want to eat he's just looking for a Suites to suit him down and basically every day he's asking when he's going back to school and why he needs to stay at home all my children were used to do a routine going to school and literally running through the school yard and looking forward to meeting with their friends and learning something new every day in school in the social environment they enjoyed playing in the schoolyard after school and going into their activity everything was taken away from us I would like this lock sound be over I would want for our country to be opened as soon as possible and as an example looking at them Sweden who took the other way around exposing their Nation to the virus in a natural way in developing the immunity I understand the available in elderly needs to be protected and separated but for us and the children were not at risk they should go to school and an end have their mental state be looked at because this is Yvonne president and on them thank you very much for listening
216,so far I have been florentines now for about a month-and-a-half and it's been tough there seems to be I mean I've been in here in New York and it's been a pretty desperate situation it's been difficult to feel like I can provide some help at all and it kind of seems I feel somewhat helpless however following the news has been it's actually been pretty depressing it's been difficult to follow up and trying to stay away from the news I'm just to try to maintain more hope and try to keep myself removed from the date day of the the virus in the crisis as I don't in feeling that I I can't really help all that much I don't feel like there's any utility in my following the news religiouslybut that being said I have seen you know some hopeful stories from people and seen some some nice things that have enough kind of helped out through the crisis and it's it feels like people are coming together and in a certain way and I hope that people are kind of are realizing that things are unfair in life and in the way that our society works and that's that they don't need to be unfair that we can that this is something that that can be fixed and I hope that that's that's happening however I have my doubts and I worry thatwe'll come out of this is the further entrenchment of class and moneyed interests and in the further entrenchment of the disparity between the ruling in the wealthy class and the rest of us I'm however I also have hope that this is going to kind of wake people up in that this will be the impetus for major social change as it has in the past and I hope so I am hopeful for that however I know that there's is a lot sitting in the way of that sin a lot that. That could prevent that and that's scary because moving forward from this I think that's this thing's could only things can get much worse going forward and I think that the entrenchment of capital and of money to interest will continue and what will consolidate even further as a result of this and if it does then it's going to be even harder to break through that but we're able to to move past that into to wake up and establish a collective conscience and among working people and I think that we can make it through this
222,it has actually been a very difficult. Trying to get adjusted to changes the school system's now became online jobs people have to start working from home sometimes and some other times they have to work at the exact location worrying about family members whether they're okay or not and then family members on the Frontline worrying about them as wellit's been very difficult to me that sounds like China's involvement and I wish the government would do something about a good down to the root of the problem because too many times with the guy versus from China and what is going on
228,so this whole situation has been strange for us we feel very lucky because while we've been laid off or unemployment has with the additional money coming in at least been close to what we were used to making so we're not feeling the strain financially as some of our friends and family are and we're very grateful for that however I think right now because we can stay at homeour biggest fear is what comes next right now we're not scared that we're going to get sick because we are following the guidelines and staying home as much as possible but what worries us is what the world looks like next what the next steps are it makes me nervous to have to send the kids back to school and it makes me nervous to know what it'll be look like going back to work I work as a server in a restaurant and I'm not only worried about what it'll be like workingit in a restaurant during the aftermath of covid-19 but also financially what that'll look like and what our world in general will look like so while we feel lucky at the moment we also feel a little bit stressed out about what the future holds
246,my name is Simi and since the covid virus has come out I have a senior in high school who is depressed his graduation is cancelled from senior college shirt day has been trying to keep busy he lost his job so I did take your advice and I ordered some puzzles and a bunch of games for family activities which have been very helpful he really enjoys mankala and then my other son is in college who came home early becausebecause the college is on closed he is depressed not working just home with really no ambition or motivation I had the coronavirus and so that was challenging in the house with the kids just being kind of quarantine to my room and not feeling well and being able to go to the store quick note my husband did get a job he was unemployed so financially that was a big help andhistoric winning cuz it turned off so I think that that is about our experience with it
342,My fear is that my son will be emotionally impacted by the virus. I worry that he could develop fears associated with this. I fear for my loved ones who tested positive and pray that they will get better. I am scared to take my children outside especially now that the Kawasaki disease is linked to corona virus in children. What has been getting me through this is volunteering as a crisis counselor and taking two long walks a week while covering my face with a mask. I hope and pray we survive this pandemic and can go back to a safer new normal.
349,"Teachers are struggling to support students remotely. This introduces challenges in preparing educational materials that translate from the classroom to a computer, and competing with the distractions they and their students face at home."
376,"I personally hate Distance Learning. I hate that I am missing my 8th grade graduation, I hate that I am missing all of these fun activities that we do at the end of the year, such as Hamilton, Great America, etc. It sucks that I cannot interact with my friends. I Zoom call, but it is not the same. COVID is nobody's friend, but despite how much I have, I still complain to my friend, who has her own issues going on, on top of listening to my issues. But she listens nevertheless, and reassures me...I feel like there is something she isn't telling me-she has been pretty distant with her text messages lately. So I worry for her, I worry for myself and my family, I worry for all pf the frontline workers. This whole thing sucks, but I know it is much better than the alternative."
392,"I feel anxious often and unsure about my abilities as a teacher to meet the needs of my students in this new virtual setting. I see parents struggling with their new roles of trying to manage their childrens studies, work and continue keeping the household together. I struggle to keep up with learning all of the new technology necessary for our changing world. I wonder if I am doing enough. I find it hard to communicate on zoom sometimes. I miss the classroom and being surrounded by children. I became a teacher because I love children. I love to be around them. I feel invigorated by their excitement for life and the wonder they have for learning. I see my students struggling. They miss their school. They miss their friends. I have learned a lot through the pandemic. I have learned how strong we all are and how creative and innovative we can be. I have learned to collaborate and the importance of sharing our feelings. I feell uncertain about the future. But I am certain I will continue to support families and children as we get through this together."
