Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ID,,,,,,,,,,,,,,66,,,
timestamp1,adult_selfreport_baseline_form,,text,,,,,,,,,,,,,,@NOW @HIDDEN
prolific_id,adult_selfreport_baseline_form,,text,Prolific Academic ID,,,,,,,,y,,,,,
county,adult_selfreport_baseline_form,,text,County:,,,,,,,,,,,,,
age,adult_selfreport_baseline_form,,text,Your age (years):,,,,,,,,,,,,,
before,adult_selfreport_baseline_form,BACKGROUND,descriptive,"First, before we get started with the main questions, we would like to obtain some background information about you.
",,,number,,,y,,,,,,,
sex,adult_selfreport_baseline_form,,dropdown,Please specify your sex:,"1, Male | 2, Female | 3, Other",,,,,,,,,,,,
sex_other,adult_selfreport_baseline_form,,text,Other:,,,,,,,,,,,,,
raceethnicity,adult_selfreport_baseline_form,,checkbox,"Thinking about what you know of your family history, which of the following best describes the geographic regions from where your ancestors (i.e. your great-great-grandparents) came from?
You may select as many choices as you need.","1, England, Ireland, Scotland or Wales | 2, Australia - not of Aboriginal or Torres Strait Islander descent | 3, Australia - of Aboriginal or Torres Strait Islander descent | 4, New Zealand - not of Maori descent | 5, New Zealand - of Maori descent | 6, Northern Europe including Sweden, Norway, Finland and surrounding countries | 7, Western Europe including France, Germany, the Netherlands and surrounding countries | 8, Eastern Europe including Russia, Poland, Hungary and surrounding countries | 9, Southern Europe including Italy, Greece, Spain, Portugal and surrounding countries | 10, Middle East including Lebanon, Turkey and surrounding countries | 11, Eastern Asia including China, Japan, South Korea, North Korea, Taiwan and Hong Kong | 12, South-East Asia including Thailand, Malaysia, Indonesia, Singapore and surrounding countries | 13, South Asia including India, Pakistan, Sri Lanka and surrounding countries | 14, Polynesia, Micronesia or Melanesia including Tonga, Fiji, Papua New Guinea and surrounding countries | 15, Africa | 16, North America - not of First Nations, Native American, Inuit or Métis descent | 17, North America - of First Nations, Native American, Inuit or Métis descent | 18, Caribbean, Central or South America | 19, Don't know | 20, Other",,,,,,[sex] = '3',,,,,,
hispanic,adult_selfreport_baseline_form,,yesno,"Are you of Hispanic or Latino descent - that is, Mexican, Mexican American, Chicano, Puerto Rican, Cuban, South or Central American or other Spanish culture or origin?",,,,,,,,,,,,,
working,adult_selfreport_baseline_form,,checkbox,Are you currently working or in school?,"1, Working for pay | 2, On leave | 3, Laid off or lost job | 4, Unemployed and looking for a job | 5, Retired | 6, Staying at home / homemaker | 7, Disabled | 8, Enrolled in school/college/university",,,,,,,,,,,,
occupation,adult_selfreport_baseline_form,,text,What is your occupation?,,,,,,,,,,,,,
military,adult_selfreport_baseline_form,,yesno,Have you served in the military?,,,,,,,,,,,,,
location,adult_selfreport_baseline_form,,radio,Which best describes the area in which you live?,"1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
education,adult_selfreport_baseline_form,,radio,What is the highest level of education YOU completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
educationmother,adult_selfreport_baseline_form,,radio,What is the highest level of education your MOTHER completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
educationfather,adult_selfreport_baseline_form,,radio,What is the highest level of education your FATHER completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree",,,,,,,,,,,,
householdnumber,adult_selfreport_baseline_form,,text,How many people currently live in your home (excluding yourself)? ,,,,,,,,,,,,,
essentialworkers,adult_selfreport_baseline_form,,yesno,"Are any adults typically living in the home an ESSENTIAL WORKER (e.g., healthcare, delivery worker, store worker, security, building maintenance, etc)?",,,number,,,,,,,,,,
essentialworkerhome,adult_selfreport_baseline_form,,radio,Do they come home each day?,"1, Yes | 2, No, separated due to COVID-19 | 3, No, separated due to other reasons",,,,,,,,,,,,
covidfacility,adult_selfreport_baseline_form,,yesno,"Are they a FIRST RESPONDER, HEALTHCARE PROVIDER, or OTHER WORKER in a facility treating COVID-19?",,,,,,,[essentialworkers] = '1',,,,,,
householdcomp,adult_selfreport_baseline_form,,checkbox,Please specify your relationship to the people in your home (check all that apply):,"1, Partner/Spouse | 2, Parent(s) | 3, Grandparent(s) | 4, Siblings | 5, Children | 6, Other relatives | 7, Unrelated person",,,,,,[essentialworkers] = '1',,,,,,
roomsinhouse,adult_selfreport_baseline_form,,text,How many rooms (total) are in your home?  ,,,,,,,,,,,,,
insurance,adult_selfreport_baseline_form,,radio,Are you covered by health insurance?,"1, Yes, military | 2, Yes, employer-sponsored | 3, Yes, individual | 4, Yes, Medicare | 5, Yes, Medicaid or CHIP | 6, Yes, other | 7, No",,number,,,,,,,,,,
govassist,adult_selfreport_baseline_form,,yesno,"In the 3 months prior to the Coronavirus/COVID-19 crisis in your area, did you or your family receive money from government assistance programs like welfare, Aid to Families with Dependent Children, General Assistance, or Temporary Assistance for Needy Families?",,,,,,,,,,,,,
physicalhealth,adult_selfreport_baseline_form,,radio,How would you rate your overall physical health? ,"1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
healthconditions,adult_selfreport_baseline_form,,checkbox,Has a health or educational professional ever told you that you had any of the following health conditions (check all that apply)? ,"1, Seasonal allergies | 2, Asthma or other lung problems | 3, Heart problems | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs | 15, Intellectual disability | 16, Autism Spectrum Disorder | 17, Learning Disorder",,,,,,,,,,,,
tall,adult_selfreport_baseline_form,,text,How tall are you?,,,,,,,,,,,,,
measurementheight,adult_selfreport_baseline_form,,radio,Measurement:,"1, Inches (in) | 2, Centimeters (cm)",,number,,,,,,,,,,
weight,adult_selfreport_baseline_form,,text,How much do you weigh?,,,,,,,,,,,,,
measurementweight,adult_selfreport_baseline_form,,radio,Measurement:,"1, Pounds (lbs) | 2, Kilograms (kg)",,number,,,,,,,,,,
mentalhealth,adult_selfreport_baseline_form,,radio,How would you rate your overall Mental/Emotional health before the Coronavirus/COVID-19 crisis in your area? ,"1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
twoweekscovid,adult_selfreport_baseline_form,CORONAVIRUS/COVID-19 HEALTH/EXPOSURE STATUS,descriptive,During the <u>PAST TWO WEEKS<u>:,,,,,,,,,,,,,
exposed,adult_selfreport_baseline_form,,checkbox,...have you been exposed to someone likely to have Coronavirus/COVID-19? (check all that apply),"1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No, not to my knowledge",,,,,,,,,,,,
infected,adult_selfreport_baseline_form,,radio,...have you been suspected of having Coronavirus/COVID-19 infection?,"1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, have had some possible symptoms, but no diagnosis by doctor | 4, No symptoms or signs",,,,,,,,,,,,
symptoms,adult_selfreport_baseline_form,,checkbox,...have you had any of the following symptoms? (check all that apply),"1, Fever | 2, Cough | 3, Shortness of breath | 4, Sore throat | 5, Fatigue | 6, Loss of taste or smell | 7, Eye infection | 8, Other",,,,,,,,,,,,
othersymptoms,adult_selfreport_baseline_form,,text,Other:,,,,,,,,,,,,,
diagnosedfamily,adult_selfreport_baseline_form,,checkbox,...has anyone in your family been diagnosed with Coronavirus/COVID-19? (check all that apply),"1, Yes, member of household | 2, Yes, non-household member | 3, No",,,,,,[symptoms(8)] = '1',,,,,,
