Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ID,,,text,Unique respondent ID,,,,,,,,,,,,,
timestamp1,adult_selfreport_baseline_form,,text,,,,,,,,,,,,,,@NOW @HIDDEN
age,adult_selfreport_baseline_form,,text,Your age (years):,,,number,,,y,,,,,,,
before,adult_selfreport_baseline_form,BACKGROUND,descriptive,"First, before we get started with the main questions, we would like to obtain some background information about you.
",,,,,,,,,,,,,
gender,adult_selfreport_baseline_form,,dropdown,What is your gender identity? ,"1, Man | 2, Woman | 3, Non-binary | 4, Transgender man | 5, Transgender woman | 6, Other",,,,,,,,,,,,
gender_other,adult_selfreport_baseline_form,,text,Other:,,,,,,,[gender] = '6',,,,,,
raceethnicity,adult_selfreport_baseline_form,,checkbox,Which of these categories best describe you? Please select all that apply.,"1, White | 2, Black / African American | 3, Latino / Latina / Latinx or Hispanic | 4, American Indian or Alaska Native | 5, East Asian or Pacific Islander | 6, South or Southeast Asian | 7, Middle Eastern or North African | 8, Caribbean | 9, A race, ethnicity, or origin not listed",,,,,,,,,,,,
raceethnicitydescribe,adult_selfreport_baseline_form,,text,"If a race, ethnicity, or origin not listed, please describe:",,,,,,,[raceethnicity(9)] = '1',,,,,,
tall,adult_selfreport_baseline_form,,text,How tall are you?,,,number,,,,,,,,,,
measurementheight,adult_selfreport_baseline_form,,radio,Measurement:,"1, Inches (in) | 2, Centimeters (cm)",,,,,,,,,,,,
weight,adult_selfreport_baseline_form,,text,How much do you weigh?,,,number,,,,,,,,,,
measurementweight,adult_selfreport_baseline_form,,radio,Measurement:,"1, Pounds (lbs) | 2, Kilograms (kg)",,,,,,,,,,,,
sexualorientation,adult_selfreport_baseline_form,,radio,Which of these best describes your sexual orientation?,"1, Gay | 2, Lesbian | 3, Heterosexual/Straight | 4, Bisexual | 5, Other | 6, Prefer not to answer",,,,,,,,,,,,
sexualorientationother,adult_selfreport_baseline_form,,text,Other:,,,,,,,[sexualorientation] = '5',,,,,,
cigarettesyn,adult_selfreport_baseline_form,,yesno,"In your lifetime, have you ever smoked part or all of a cigarette?  ",,,,,,,,,,,,,
healthconditions,adult_selfreport_baseline_form,,checkbox,Has a health or educational professional ever told you that you had any of the following health conditions (check all that apply)? ,"1, Allergies | 2, Asthma or other lung problems | 3, Heart problems or hypertension | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs | 15, Intellectual disability | 16, Autism Spectrum Disorder | 17, Learning Disorder | 18, Other",,,,,,,,,,,,
otherhealth,adult_selfreport_baseline_form,,text,Please specify:,,,,,,,[healthconditions(18)] = '1',,,,,,
working,adult_selfreport_baseline_form,,checkbox,Are you currently working or in school? (check all that apply),"1, Working full-time for pay | 2, Working part-time for pay | 3, Volunteer work | 4, On leave | 5, Laid off or lost a job | 6, Unemployed and looking for a job | 7, Unemployed and <u>not</u> looking for a job | 8, Retired | 9, Staying at home/homemaker | 10, Disabled | 11, Enrolled in school/college/university",,,,,,,,,,,,
applyunemployment,adult_selfreport_baseline_form,,yesno,Did you file for unemployment benefits?,,,,,,,[working(4)] = '1' or [working(5)] = '1' or [working(6)] = '1' or [working(7)] = '1',,,,,,
recieveunemployment,adult_selfreport_baseline_form,,yesno,Did you receive them?,,,,,,,[applyunemployment] = '1',,,,,,
stillrecieveunemployment,adult_selfreport_baseline_form,,yesno,Are you still receiving them?,,,,,,,[recieveunemployment] = '1',,,,,,
occupation,adult_selfreport_baseline_form,,text,What is your occupation?,,,,,,,,,,,,,
essentialworker,adult_selfreport_baseline_form,,yesno,"Are you an ESSENTIAL WORKER (e.g., healthcare worker, first responder, delivery worker, store worker, security, building maintenance)? ",,,,,,,,,,,,,
location,adult_selfreport_baseline_form,,radio,Which best describes the area in which you live?,"1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
education,adult_selfreport_baseline_form,,radio,What is the highest level of education you completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree (e.g., MA, MS, MBA, PhD, EdD, MD, DDS, JD, DVM)",,,,,,,,,,,,
