Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
timestamp1,parentcaregiver_baseline_form,,text,,,,,,,,,,,,,,@NOW @HIDDEN
age,parentcaregiver_baseline_form,,text,Your age (years):,,,number,,,y,,,,,,,
childage,parentcaregiver_baseline_form,,text,Your child's age (years):,,,number,,,y,,,,,,,
before,parentcaregiver_baseline_form,BACKGROUND,descriptive,"First, before we get started with the main questions, we would like to obtain some background information about your child.
",,,,,,,,,,,,,
relationship,parentcaregiver_baseline_form,,radio,What is your relationship to the child?,"1, Mother | 2, Father | 3, Grandparent | 4, Aunt/Uncle | 5, Foster Parent | 6, Other",,,,,,,,,,,,
otherrelation,parentcaregiver_baseline_form,,text,Relation:,,,,,,,[relationship] = '6',,,,,,
gender,parentcaregiver_baseline_form,,dropdown,Please specify your child's gender identity: ,"1, Boy | 2, Girl | 3, Non-binary | 4, Transgender boy | 5, Transgender girl | 6, Other",,,,,,,,,,,,
gender_other,parentcaregiver_baseline_form,,text,Other:,,,,,,,[gender] = '6',,,,,,
raceethnicity,parentcaregiver_baseline_form,,checkbox,"Which of these categories best describe your child? Please select all that apply.
","1, White | 2, Black / African American | 3, Latino / Latina / Latinx or Hispanic | 4, American Indian or Alaska Native | 5, East Asian or Pacific Islander | 6, South or Southeast Asian | 7, Middle Eastern or North African | 8, Caribbean | 9, A race, ethnicity, or origin not listed",,,,,,,,,,,,
raceethnicitydescribe,parentcaregiver_baseline_form,,text,"If a race, ethnicity, or origin not listed, please describe:",,,,,,,[raceethnicity(9)] = '1',,,,,,
tall,parentcaregiver_baseline_form,,text,How tall is your child? ,,,number,,,,,,,,,,
measurementheight,parentcaregiver_baseline_form,,radio,Measurement:,"1, Inches (in) | 2, Centimeters (cm)",,,,,,,,,,,,
weight,parentcaregiver_baseline_form,,text,How much does your child weigh? ,,,number,,,,,,,,,,
measurementweight,parentcaregiver_baseline_form,,radio,Measurement:,"1, Pounds (lbs) | 2, Kilograms (kg)",,,,,,,,,,,,
healthconditions,parentcaregiver_baseline_form,,checkbox,Has a health or educational professional ever told you that your child had any of the following health conditions (check all that apply)? ,"1, Allergies | 2, Asthma or other lung problems | 3, Heart problems or hypertension | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs | 15, Intellectual disability | 16, Autism Spectrum Disorder | 17, Learning Disorder | 18, Other",,,,,,,,,,,,
otherhealth,parentcaregiver_baseline_form,,text,Please specify:,,,,,,,[healthconditions(18)] = '1',,,,,,
school,parentcaregiver_baseline_form,,checkbox,Is your child enrolled in school/college for the current academic year?,"1, Not in school | 2, Elementary school | 3, Junior high or Middle school | 4, High school | 5, College/Vocational school | 6, Graduate school",,,,,,,,,,,,
location,parentcaregiver_baseline_form,,radio,Which best describes the area in which your child lives?,"1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
parenteducation,parentcaregiver_baseline_form,,radio,What is the highest level of education YOU completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree (e.g., MA, MS, MBA, PhD, EdD, MD, DDS, JD, DVM)",,,,,,,,,,,,
secondparenteducation,parentcaregiver_baseline_form,,radio,What is the highest level of education your child's second parent/caregiver completed?,"1, Some grade school | 2, Some high school | 3, High school diploma or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, Some school beyond college | 7, Graduate or professional degree (e.g., MA, MS, MBA, PhD, EdD, MD, DDS, JD, DVM) | 8, No second parent/caregiver",,,,,,,,,,,,
working,parentcaregiver_baseline_form,,checkbox,Are YOU currently working or in school? (check all that apply),"1, Working full-time for pay | 2, Working part-time for pay | 3, Volunteer work | 4, On leave | 5, Laid off or lost a job | 6, Unemployed and looking for a job | 7, Unemployed and <u>not</u> looking for a job | 8, Retired | 9, Staying at home/homemaker | 10, Disabled | 11, Enrolled in school/college/university",,,,,,,,,,,,
applyunemployment,parentcaregiver_baseline_form,,yesno,Did you file for unemployment benefits?,,,,,,,[working(4)] = '1' or [working(5)] = '1' or [working(6)] = '1' or [working(7)] = '1',,,,,,
recieveunemployment,parentcaregiver_baseline_form,,yesno,Did you receive them?,,,,,,,[applyunemployment] = '1',,,,,,
stillrecieveunemployment,parentcaregiver_baseline_form,,yesno,Are you still receiving them?,,,,,,,[recieveunemployment] = '1',,,,,,
householdnumber,parentcaregiver_baseline_form,,text,How many people currently live in your child's home (excluding your child)? ,,,number,,,,,,,,,,
householdcomp,parentcaregiver_baseline_form,,checkbox,Please specify their relationships to your child (check all that apply):,"1, One parent | 2, Two parents | 3, Grandparent(s) | 4, Siblings | 5, Other children | 6, Other relatives | 7, Unrelated person",,,,,,,,,,,,
essentialworker,parentcaregiver_baseline_form,,yesno,"Is anyone in your child's household an ESSENTIAL WORKER (e.g., healthcare worker, first responder, delivery worker, store worker, security, building maintenance)? ",,,,,,,,,,,,,
roomsinhouse,parentcaregiver_baseline_form,,text,How many rooms (<u>not</u> including bathrooms) are in your child's home?  ,,,number,,,,,,,,,,
insurance,parentcaregiver_baseline_form,,radio,Is your child covered by health insurance?,"1, Yes, military | 2, Yes, employer-sponsored | 3, Yes, individual | 4, Yes, Medicare | 5, Yes, Medicaid or CHIP | 6, Yes, other | 7, No",,,,,,,,,,,,
exposed,parentcaregiver_baseline_form, ,checkbox,Has your child been exposed to someone suspected of having COVID-19? (check all that apply),"1, Yes, someone who tested positive for COVID-19 | 2, Yes, someone diagnosed with COVID-19, but who was not tested | 3, Yes, someone showing symptoms of COVID-19, but not diagnosed or tested | 4, No, not to my knowledge",,,,,,,,,,,,
suspectedinfected,parentcaregiver_baseline_form,,yesno,Has your child been suspected of having COVID-19 infection?,,,,,,,,,,,,,
